t	y	dt	dy
1.44E+01	0.77041	0.07	0.03
1.62E+01	0.7842583	0.07	0.03
1.81E+01	0.7818032	0.07	0.03
2.00E+01	0.7695277	0.07	0.03
2.19E+01	0.7621624	0.07	0.03
2.38E+01	0.7621624	0.07	0.03
2.57E+01	0.7597073	0.07	0.03
2.76E+01	0.7449767	0.07	0.03
2.95E+01	0.7376114	0.07	0.03
3.14E+01	0.7351563	0.07	0.03
3.33E+01	0.7351563	0.07	0.03
3.52E+01	0.7302461	0.07	0.03
3.71E+01	0.7351563	0.07	0.03
3.89E+01	0.727791	0.07	0.03
4.08E+01	0.7204257	0.07	0.03
4.27E+01	0.7204257	0.07	0.03
4.46E+01	0.7179706	0.07	0.03
4.65E+01	0.7130604	0.07	0.03
4.83E+01	0.7204257	0.07	0.03
5.02E+01	0.7155155	0.07	0.03
5.21E+01	0.7130604	0.07	0.03
5.40E+01	0.7007849	0.07	0.03
5.59E+01	0.7056951	0.07	0.03
5.77E+01	0.6958747	0.07	0.03
5.96E+01	0.6909645	0.07	0.03
6.15E+01	0.6909645	0.07	0.03
6.33E+01	0.6860543	0.07	0.03
6.52E+01	0.6860543	0.07	0.03
6.71E+01	0.6811441	0.07	0.03
6.89E+01	0.6811441	0.07	0.03
7.08E+01	0.6811441	0.07	0.03
7.46E+01	0.6811441	0.07	0.03
7.83E+01	0.6811441	0.07	0.03
9.51E+01	0.6768599	0.07	0.03
9.70E+01	0.6768599	0.07	0.03
1.12E+02	0.675992	0.07	0.03
1.14E+02	0.675992	0.07	0.03
1.19E+02	0.6742563	0.07	0.03
1.23E+02	0.6731075	0.07	0.03
