x	y	dx	dy
0	64.16666667	0.01	0.05
-0.174532925	63	0.01	0.05
-0.34906585	63.96666667	0.01	0.05
-0.523598776	63.53333333	0.01	0.05
-0.698131701	62.1	0.01	0.05
-0.872664626	61.43333333	0.01	0.05
-1.047197551	61.9	0.01	0.05
-1.221730476	64.3	0.01	0.05
-1.396263402	62.36666667	0.01	0.05
0.174532925	61.43333333	0.01	0.05
0.34906585	60.43333333	0.01	0.05
0.523598776	60.33333333	0.01	0.05
0.698131701	62.33333333	0.01	0.05
0.872664626	61.6	0.01	0.05
1.047197551	61.23333333	0.01	0.05
1.221730476	61.6	0.01	0.05
1.396263402	61.86666667	0.01	0.05
0	61.2	0.01	0.05
